Sample ID;Location;lake;type;Treatment;Year;Replicate;Initial weight green;Initial weight red tea ;FiNAl weight green tea;FiNAl weight red tea;incubation time;;;;;;;;;;;;;;;;;
1;CZ Zebetin lake;Zebetin;littoral;on top of sediment;2016;1;2.00;3.00;0.41;1.19;89.00;;;;;;;;;;;;;;;;;
2;CZ Dehtar lake;Dehtar;littoral;on top of sediment;2016;1;;2.00;NA;1.27;83.00;;;;;;;;;;;;;;;;;
3;CZ Dehtar stream bay;Dehtar;littoral;on top of sediment;2016;1;2.00;2.00;0.40;0.65;83.00;;;;;;;;;;;;;;;;;
4;CZ Zebetin lake;Zebetin;littoral;on top of sediment;2016;2;2.00;2.00;0.33;1.33;85.00;;;;;;;;;;;;;;;;;
5;CZ Zebetin lake;Zebetin;littoral;on top of sediment;2016;3;2.00;2.00;0.30;1.24;85.00;;;;;;;;;;;;;;;;;
6;RS Palic lake ;Palic;pelagic;water column;2016;1;2.10;2.30;0.50;1.30;94.00;;;;;;;;;;;;;;;;;
7;RS Palic lake ;Palic;pelagic;water column;2016;2;2.00;2.30;0.50;1.40;94.00;;;;;;;;;;;;;;;;;
8;RS Palic lake ;Palic;pelagic;water column;2016;3;2.10;2.40;0.40;1.40;94.00;;;;;;;;;;;;;;;;;
9;RS Palic lake ;Palic;littoral;on top of sediment;2016;1;2.00;2.30;0.80;1.50;94.00;;;;;;;;;;;;;;;;;
10;RS Palic lake ;Palic;littoral;on top of sediment;2016;2;1.90;2.30;0.80;1.60;94.00;;;;;;;;;;;;;;;;;
11;RS Palic lake ;Palic;littoral;on top of sediment;2016;3;2.10;2.20;0.70;1.80;94.00;;;;;;;;;;;;;;;;;
12;RS Palic lake ;Palic;sediment;in sediment;2016;1;2.10;2.30;0.90;1.80;94.00;;;;;;;;;;;;;;;;;
13;RS Palic lake ;Palic;sediment;in sediment;2016;2;2.10;2.30;0.80;2.00;94.00;;;;;;;;;;;;;;;;;
14;RS Palic lake ;Palic;sediment;in sediment;2016;3;2.10;2.30;1.00;2.00;94.00;;;;;;;;;;;;;;;;;
15;IT Lugano Paradiso, Forca di S.Martino;Lugano;sediment;in sediment;2016;1;2.11;2.29;0.50;1.67;96.00;;;;;;;;;;;;;;;;;
16;IT Lugano Paradiso, Forca di S.Martino;Lugano;sediment;in sediment;2016;2;2.17;2.25;0.50;1.74;96.00;;;;;;;;;;;;;;;;;
17;IT Lugano Paradiso, Forca di S.Martino;Lugano;sediment;in sediment;2016;3;2.16;2.26;0.49;1.46;96.00;;;;;;;;;;;;;;;;;
18;IT Lugano Paradiso, Forca di S.Martino )-10m);Lugano;pelagic;on top of sediment;2016;1;2.21;2.21;0.48;1.49;96.00;;;;;;;;;;;;;;;;;
19;IT Lugano Paradiso, Forca di S.Martino )-10m);Lugano;pelagic;on top of sediment;2016;2;1.99;2.29;0.49;1.57;96.00;;;;;;;;;;;;;;;;;
20;IT Lugano Paradiso, Forca di S.Martino )-10m);Lugano;pelagic;on top of sediment;2016;3;2.06;2.25;0.52;1.46;96.00;;;;;;;;;;;;;;;;;
21;IT Lugano Paradiso, Forca di S.Martino;Lugano;pelagic;water column;2016;1;2.04;2.26;0.47;1.38;96.00;;;;;;;;;;;;;;;;;
22;IT Lugano Paradiso, Forca di S.Martino;Lugano;pelagic;water column;2016;2;2.08;2.28;0.50;1.41;96.00;;;;;;;;;;;;;;;;;
23;IT Lugano Paradiso, Forca di S.Martino;Lugano;pelagic;water column;2016;3;2.07;2.30;0.57;1.45;96.00;;;;;;;;;;;;;;;;;
24;IT Maggiore 1;Maggiore;sediment;in sediment;2016;1;2.16;2.27;0.45;1.53;91.00;;;;;;;;;;;;;;;;;
25;IT Maggiore 1;Maggiore;sediment;in sediment;2016;2;2.14;2.33;0.48;1.47;91.00;;;;;;;;;;;;;;;;;
26;IT Maggiore 1;Maggiore;sediment;in sediment;2016;3;2.02;2.27;0.45;1.46;91.00;;;;;;;;;;;;;;;;;
