Code;Row;Colom;Type;Replicate;Tea;Start_weight;End_weight
1AxWag;1;A;pelagic;a;green;2.1544;1.5174
1AxWar;1;A;pelagic;a;rooibos;2.2585;2.0573
1AxWbg;1;A;pelagic;b;green;2.0285;1.4735
1AxWbr;1;A;pelagic;b;rooibos;2.168;1.9919
1AxWcg;1;A;pelagic;c;green;2.1093;1.5309
1AxWcr;1;A;pelagic;c;rooibos;2.2516;2.0128
1AxSag;1;A;littoral;a;green;2.0812;1.5958
1AxSar;1;A;littoral;a;rooibos;2.1955;1.9507
1AxSbg;1;A;littoral;b;green;2.0416;1.5797
1AxSbr;1;A;littoral;b;rooibos;2.2394;2.016
1AxScg;1;A;littoral;c;green;2.09;1.6048
1AxScr;1;A;littoral;c;rooibos;2.2482;2.0092
1AxIag;1;A;sediment;a;green;2.1088;1.6142
1AxIar;1;A;sediment;a;rooibos;2.2009;2.0274
1AxIbg;1;A;sediment;b;green;2.0399;1.5695
1AxIbr;1;A;sediment;b;rooibos;2.2303;2.0205
1AxIcg;1;A;sediment;c;green;2.13;1.6208
1AxIcr;1;A;sediment;c;rooibos;2.241;1.9675
1BxWag;1;B;pelagic;a;green;2.0549;1.5221
1BxWar;1;B;pelagic;a;rooibos;2.3564;2.0424
1BxWbg;1;B;pelagic;b;green;2.1049;1.5325
1BxWbr;1;B;pelagic;b;rooibos;2.215;1.9756
1BxWcg;1;B;pelagic;c;green;2.0426;1.5041
1BxWcr;1;B;pelagic;c;rooibos;2.2452;1.9736
1BxSag;1;B;littoral;a;green;2.1013;1.6576
1BxSar;1;B;littoral;a;rooibos;2.2437;2.0405
1BxSbg;1;B;littoral;b;green;2.1682;1.6577
1BxSbr;1;B;littoral;b;rooibos;2.2373;2.0117
1BxScg;1;B;littoral;c;green;2.1453;1.568
1BxScr;1;B;littoral;c;rooibos;2.2203;2.0094
1BxIag;1;B;sediment;a;green;2.0816;1.614
1BxIar;1;B;sediment;a;rooibos;2.2859;2.1669
1BxIbg;1;B;sediment;b;green;2.079;1.5873
1BxIbr;1;B;sediment;b;rooibos;2.2452;2.0511
1BxIcg;1;B;sediment;c;green;2.0363;?
1BxIcr;1;B;sediment;c;rooibos;2.0932;?
1CxWag;1;C;pelagic;a;green;2.2453;1.5692
1CxWar;1;C;pelagic;a;rooibos;2.2318;1.9893
1CxWbg;1;C;pelagic;b;green;2.0133;1.4668
1CxWbr;1;C;pelagic;b;rooibos;2.1956;1.9589
1CxWcg;1;C;pelagic;c;green;2.1104;1.5497
1CxWcr;1;C;pelagic;c;rooibos;2.2007;1.9385
1CxSag;1;C;littoral;a;green;2.1584;1.751
1CxSar;1;C;littoral;a;rooibos;2.2497;2.0749
1CxSbg;1;C;littoral;b;green;2.1124;1.8415
1CxSbr;1;C;littoral;b;rooibos;2.2049;2.1466
1CxScg;1;C;littoral;c;green;2.101;2.3119
1CxScr;1;C;littoral;c;rooibos;2.2541;2.1458
1CxIag;1;C;sediment;a;green;2.0686;1.5881
1CxIar;1;C;sediment;a;rooibos;2.1862;2.0369
1CxIbg;1;C;sediment;b;green;2.1698;1.6706
1CxIbr;1;C;sediment;b;rooibos;2.2033;2.0179
1CxIcg;1;C;sediment;c;green;2.0676;1.4213
1CxIcr;1;C;sediment;c;rooibos;2.2308;1.9123
1DxWag;1;D;pelagic;a;green;2.1568;1.5089
1DxWar;1;D;pelagic;a;rooibos;2.1981;1.9142
1DxWbg;1;D;pelagic;b;green;2.0946;1.4953
1DxWbr;1;D;pelagic;b;rooibos;2.2766;2.0119
1DxWcg;1;D;pelagic;c;green;2.0195;1.4332
1DxWcr;1;D;pelagic;c;rooibos;2.2209;1.9203
1DxSag;1;D;littoral;a;green;2.2031;1.5221
1DxSar;1;D;littoral;a;rooibos;2.1883;1.9395
1DxSbg;1;D;littoral;b;green;1.9571;1.4194
1DxSbr;1;D;littoral;b;rooibos;2.2327;1.9674
1DxScg;1;D;littoral;c;green;2.0539;1.483
1DxScr;1;D;littoral;c;rooibos;2.2819;1.9863
1DxIag;1;D;sediment;a;green;2.0732;1.7222
1DxIar;1;D;sediment;a;rooibos;2.2304;2.012
1DxIbg;1;D;sediment;b;green;2.2253;1.663
1DxIbr;1;D;sediment;b;rooibos;2.2168;2.0367
1DxIcg;1;D;sediment;c;green;2.1811;1.5958
1DxIcr;1;D;sediment;c;rooibos;2.2401;2.0259
1ExWag;1;E;pelagic;a;green;1.9895;1.4114
1ExWar;1;E;pelagic;a;rooibos;2.2299;2.0277
1ExWbg;1;E;pelagic;b;green;2.0528;1.476
1ExWbr;1;E;pelagic;b;rooibos;2.2293;1.9641
1ExWcg;1;E;pelagic;c;green;2.0852;1.5063
1ExWcr;1;E;pelagic;c;rooibos;2.2383;1.9733
1ExSag;1;E;littoral;a;green;2.1278;1.6048
1ExSar;1;E;littoral;a;rooibos;2.2283;2.0089
1ExSbg;1;E;littoral;b;green;1.9975;1.4815
1ExSbr;1;E;littoral;b;rooibos;2.1595;1.9332
1ExScg;1;E;littoral;c;green;2.0901;1.5418
1ExScr;1;E;littoral;c;rooibos;2.2439;2.0371
1ExIag;1;E;sediment;a;green;2.0935;1.5249
1ExIar;1;E;sediment;a;rooibos;2.1889;2.0579
1ExIbg;1;E;sediment;b;green;2.0745;1.5319
1ExIbr;1;E;sediment;b;rooibos;2.2376;1.9834
1ExIcg;1;E;sediment;c;green;2.1093;1.5346
1ExIcr;1;E;sediment;c;rooibos;2.2203;2.0752
2AxWag;2;A;pelagic;a;green;2.057;1.4604
2AxWar;2;A;pelagic;a;rooibos;2.1916;1.9465
2AxWbg;2;A;pelagic;b;green;2.1297;1.5475
2AxWbr;2;A;pelagic;b;rooibos;2.203;1.9417
2AxWcg;2;A;pelagic;c;green;2.1379;1.4807
2AxWcr;2;A;pelagic;c;rooibos;2.2005;1.9237
2AxSag;2;A;littoral;a;green;2.1701;1.6197
2AxSar;2;A;littoral;a;rooibos;2.2526;2.0573
2AxSbg;2;A;littoral;b;green;2.1115;1.6341
2AxSbr;2;A;littoral;b;rooibos;2.1483;1.9776
2AxScg;2;A;littoral;c;green;2.0945;1.6824
2AxScr;2;A;littoral;c;rooibos;2.2456;2.0438
2AxIag;2;A;sediment;a;green;2.103;1.5398
2AxIar;2;A;sediment;a;rooibos;2.1784;2.0094
2AxIbg;2;A;sediment;b;green;2.1226;1.7553
2AxIbr;2;A;sediment;b;rooibos;2.1681;2.016
2AxIcg;2;A;sediment;c;green;1.985;1.517
2AxIcr;2;A;sediment;c;rooibos;2.2118;2.021
2BxWag;2;B;pelagic;a;green;2.0158;1.4511
2BxWar;2;B;pelagic;a;rooibos;2.2374;1.9843
2BxWbg;2;B;pelagic;b;green;2.2003;1.5813
2BxWbr;2;B;pelagic;b;rooibos;2.2659;1.9994
2BxWcg;2;B;pelagic;c;green;2.036;1.4922
2BxWcr;2;B;pelagic;c;rooibos;2.223;1.9556
2BxSag;2;B;littoral;a;green;2.135;1.6388
2BxSar;2;B;littoral;a;rooibos;2.3142;2.1215
2BxSbg;2;B;littoral;b;green;2.1247;1.5948
2BxSbr;2;B;littoral;b;rooibos;2.2626;2.0501
2BxScg;2;B;littoral;c;green;2.0624;1.5787
2BxScr;2;B;littoral;c;rooibos;2.2052;2.0249
2BxIag;2;B;sediment;a;green;2.0451;1.632
2BxIar;2;B;sediment;a;rooibos;2.2859;1.9977
2BxIbg;2;B;sediment;b;green;2.1083;1.606
2BxIbr;2;B;sediment;b;rooibos;2.2563;2.0594
2BxIcg;2;B;sediment;c;green;2.0745;?
2BxIcr;2;B;sediment;c;rooibos;2.1853;1.9928
2CxWag;2;C;pelagic;a;green;2.0707;1.4386
2CxWar;2;C;pelagic;a;rooibos;2.1706;1.9091
2CxWbg;2;C;pelagic;b;green;2.0989;1.4507
2CxWbr;2;C;pelagic;b;rooibos;2.1825;1.9357
2CxWcg;2;C;pelagic;c;green;1.9217;1.4244
2CxWcr;2;C;pelagic;c;rooibos;2.155;1.96
2CxSag;2;C;littoral;a;green;2.0832;1.5387
2CxSar;2;C;littoral;a;rooibos;2.2109;1.9415
2CxSbg;2;C;littoral;b;green;1.8714;1.3979
2CxSbr;2;C;littoral;b;rooibos;2.1891;1.9346
2CxScg;2;C;littoral;c;green;1.8742;1.4619
2CxScr;2;C;littoral;c;rooibos;2.175;1.9253
2CxIag;2;C;sediment;a;green;2.0933;1.5722
2CxIar;2;C;sediment;a;rooibos;2.2169;1.9582
2CxIbg;2;C;sediment;b;green;2.049;1.491
2CxIbr;2;C;sediment;b;rooibos;2.2251;1.9366
2CxIcg;2;C;sediment;c;green;1.9955;1.5433
2CxIcr;2;C;sediment;c;rooibos;2.2124;1.9887
2DxWag;2;D;pelagic;a;green;2.096;1.5094
2DxWar;2;D;pelagic;a;rooibos;2.2747;1.9852
2DxWbg;2;D;pelagic;b;green;2.069;1.4687
2DxWbr;2;D;pelagic;b;rooibos;2.2399;1.9777
2DxWcg;2;D;pelagic;c;green;2.0627;?
2DxWcr;2;D;pelagic;c;rooibos;2.2204;?
2DxSag;2;D;littoral;a;green;2.1572;1.5766
2DxSar;2;D;littoral;a;rooibos;2.2196;1.9805
2DxSbg;2;D;littoral;b;green;2.0756;1.5664
